# Número de ecuaciones diferenciales a resolver:  2
# Condiciones iniciales:    1.000000          0.000000    
# Extremo inicial del intervalo de integración:  0.0000
# Extremo final del intervalo de integración:  1.0000
# Paso de integración:  0.0100
#  x_inicial       theta           phi
   0.000000        1.000000        0.000000    
  0.1000000E-01   0.9999833      -0.3333300E-06
  0.2000000E-01   0.9999332      -0.2666560E-05
  0.3000000E-01   0.9998499      -0.8999188E-05
  0.4000000E-01   0.9997333      -0.2132992E-04
  0.5000000E-01   0.9995833      -0.4165624E-04
  0.5999999E-01   0.9994000      -0.7197406E-04
  0.6999999E-01   0.9991834      -0.1142773E-03
  0.7999999E-01   0.9989336      -0.1705574E-03
  0.8999999E-01   0.9986504      -0.2428031E-03
  0.9999999E-01   0.9983341      -0.3330000E-03
  0.1100000       0.9979844      -0.4431299E-03
  0.1200000       0.9976016      -0.5751708E-03
  0.1300000       0.9971855      -0.7310962E-03
  0.1400000       0.9967363      -0.9128748E-03
  0.1500000       0.9962540      -0.1122470E-02
  0.1600000       0.9957386      -0.1361841E-02
  0.1700000       0.9951901      -0.1632938E-02
  0.1800000       0.9946086      -0.1937708E-02
  0.1900000       0.9939940      -0.2278090E-02
  0.2000000       0.9933465      -0.2656015E-02
  0.2100000       0.9926660      -0.3073407E-02
  0.2200000       0.9919527      -0.3532184E-02
  0.2300000       0.9912065      -0.4034252E-02
  0.2400000       0.9904274      -0.4581512E-02
  0.2500000       0.9896157      -0.5175853E-02
  0.2600000       0.9887712      -0.5819157E-02
  0.2700000       0.9878941      -0.6513294E-02
  0.2800000       0.9869843      -0.7260125E-02
  0.2900000       0.9860420      -0.8061500E-02
  0.3000000       0.9850672      -0.8919259E-02
  0.3100000       0.9840600      -0.9835228E-02
  0.3200000       0.9830204      -0.1081122E-01
  0.3300000       0.9819484      -0.1184905E-01
  0.3399999       0.9808443      -0.1295050E-01
  0.3499999       0.9797079      -0.1411735E-01
  0.3599999       0.9785394      -0.1535137E-01
  0.3699999       0.9773389      -0.1665431E-01
  0.3799999       0.9761063      -0.1802790E-01
  0.3899999       0.9748420      -0.1947387E-01
  0.3999999       0.9735457      -0.2099394E-01
  0.4099999       0.9722177      -0.2258978E-01
  0.4199999       0.9708581      -0.2426309E-01
  0.4299999       0.9694669      -0.2601552E-01
  0.4399998       0.9680441      -0.2784872E-01
  0.4499998       0.9665899      -0.2976432E-01
  0.4599998       0.9651045      -0.3176394E-01
  0.4699998       0.9635877      -0.3384917E-01
  0.4799998       0.9620398      -0.3602159E-01
  0.4899998       0.9604609      -0.3828277E-01
  0.4999998       0.9588510      -0.4063423E-01
  0.5099998       0.9572102      -0.4307752E-01
  0.5199998       0.9555386      -0.4561413E-01
  0.5299998       0.9538364      -0.4824556E-01
  0.5399998       0.9521036      -0.5097327E-01
  0.5499998       0.9503403      -0.5379870E-01
  0.5599998       0.9485466      -0.5672329E-01
  0.5699998       0.9467227      -0.5974845E-01
  0.5799997       0.9448687      -0.6287555E-01
  0.5899997       0.9429846      -0.6610598E-01
  0.5999997       0.9410706      -0.6944106E-01
  0.6099997       0.9391268      -0.7288212E-01
  0.6199997       0.9371533      -0.7643046E-01
  0.6299997       0.9351502      -0.8008737E-01
  0.6399997       0.9331177      -0.8385409E-01
  0.6499997       0.9310558      -0.8773187E-01
  0.6599997       0.9289647      -0.9172191E-01
  0.6699997       0.9268445      -0.9582540E-01
  0.6799996       0.9246954      -0.1000435    
  0.6899996       0.9225175      -0.1043774    
  0.6999996       0.9203108      -0.1088281    
  0.7099996       0.9180756      -0.1133967    
  0.7199996       0.9158119      -0.1180845    
  0.7299996       0.9135199      -0.1228922    
  0.7399996       0.9111997      -0.1278211    
  0.7499996       0.9088516      -0.1328720    
  0.7599996       0.9064755      -0.1380460    
  0.7699996       0.9040716      -0.1433439    
  0.7799996       0.9016402      -0.1487667    
  0.7899995       0.8991812      -0.1543154    
  0.7999995       0.8966950      -0.1599906    
  0.8099995       0.8941816      -0.1657933    
  0.8199995       0.8916411      -0.1717243    
  0.8299995       0.8890738      -0.1777843    
  0.8399995       0.8864798      -0.1839742    
  0.8499995       0.8838592      -0.1902946    
  0.8599995       0.8812122      -0.1967462    
  0.8699995       0.8785389      -0.2033297    
  0.8799995       0.8758395      -0.2100457    
  0.8899994       0.8731142      -0.2168949    
  0.8999994       0.8703631      -0.2238777    
  0.9099994       0.8675864      -0.2309949    
  0.9199994       0.8647843      -0.2382469    
  0.9299994       0.8619568      -0.2456341    
  0.9399994       0.8591043      -0.2531571    
  0.9499994       0.8562267      -0.2608163    
  0.9599994       0.8533245      -0.2686121    
  0.9699994       0.8503976      -0.2765449    
  0.9799994       0.8474463      -0.2846150    
  0.9899994       0.8444707      -0.2928227    
  0.9999993       0.8414710      -0.3011684    
# Índice politrópico:  1.0000
