# Número de ecuaciones diferenciales a resolver:  2
# Condiciones iniciales:    1.000000          0.000000    
# Extremo inicial del intervalo de integración:  0.0000
# Extremo final del intervalo de integración:  1.0000
# Paso de integración:  0.0100
#  x_inicial       theta           phi
   0.000000        1.000000        0.000000    
  0.1000000E-01   0.9999833      -0.3333333E-06
  0.2000000E-01   0.9999333      -0.2666666E-05
  0.3000000E-01   0.9998500      -0.8999999E-05
  0.4000000E-01   0.9997333      -0.2133333E-04
  0.5000000E-01   0.9995833      -0.4166667E-04
  0.5999999E-01   0.9994000      -0.7200000E-04
  0.6999999E-01   0.9991833      -0.1143333E-03
  0.7999999E-01   0.9989333      -0.1706666E-03
  0.8999999E-01   0.9986500      -0.2430000E-03
  0.9999999E-01   0.9983333      -0.3333333E-03
  0.1100000       0.9979833      -0.4436666E-03
  0.1200000       0.9976000      -0.5759998E-03
  0.1300000       0.9971833      -0.7323332E-03
  0.1400000       0.9967332      -0.9146665E-03
  0.1500000       0.9962499      -0.1125000E-02
  0.1600000       0.9957333      -0.1365333E-02
  0.1700000       0.9951833      -0.1637666E-02
  0.1800000       0.9945999      -0.1944000E-02
  0.1900000       0.9939833      -0.2286333E-02
  0.2000000       0.9933333      -0.2666667E-02
  0.2100000       0.9926500      -0.3087000E-02
  0.2200000       0.9919333      -0.3549333E-02
  0.2300000       0.9911833      -0.4055667E-02
  0.2400000       0.9904000      -0.4608000E-02
  0.2500000       0.9895833      -0.5208333E-02
  0.2600000       0.9887333      -0.5858667E-02
  0.2700000       0.9878500      -0.6561001E-02
  0.2800000       0.9869333      -0.7317334E-02
  0.2900000       0.9859833      -0.8129667E-02
  0.3000000       0.9850000      -0.9000001E-02
  0.3100000       0.9839833      -0.9930334E-02
  0.3200000       0.9829333      -0.1092267E-01
  0.3300000       0.9818500      -0.1197900E-01
  0.3399999       0.9807333      -0.1310133E-01
  0.3499999       0.9795833      -0.1429167E-01
  0.3599999       0.9783999      -0.1555200E-01
  0.3699999       0.9771833      -0.1688433E-01
  0.3799999       0.9759333      -0.1829067E-01
  0.3899999       0.9746499      -0.1977300E-01
  0.3999999       0.9733332      -0.2133333E-01
  0.4099999       0.9719833      -0.2297366E-01
  0.4199999       0.9705999      -0.2469599E-01
  0.4299999       0.9691833      -0.2650233E-01
  0.4399998       0.9677333      -0.2839466E-01
  0.4499998       0.9662499      -0.3037499E-01
  0.4599998       0.9647333      -0.3244532E-01
  0.4699998       0.9631833      -0.3460765E-01
  0.4799998       0.9615999      -0.3686398E-01
  0.4899998       0.9599833      -0.3921631E-01
  0.4999998       0.9583333      -0.4166664E-01
  0.5099998       0.9566500      -0.4421697E-01
  0.5199998       0.9549333      -0.4686930E-01
  0.5299998       0.9531833      -0.4962564E-01
  0.5399998       0.9514000      -0.5248797E-01
  0.5499998       0.9495833      -0.5545830E-01
  0.5599998       0.9477333      -0.5853863E-01
  0.5699998       0.9458500      -0.6173096E-01
  0.5799997       0.9439333      -0.6503729E-01
  0.5899997       0.9419833      -0.6845962E-01
  0.5999997       0.9399999      -0.7199994E-01
  0.6099997       0.9379833      -0.7566027E-01
  0.6199997       0.9359333      -0.7944261E-01
  0.6299997       0.9338499      -0.8334894E-01
  0.6399997       0.9317333      -0.8738127E-01
  0.6499997       0.9295833      -0.9154160E-01
  0.6599997       0.9273999      -0.9583192E-01
  0.6699997       0.9251833      -0.1002543    
  0.6799996       0.9229333      -0.1048106    
  0.6899996       0.9206499      -0.1095029    
  0.6999996       0.9183333      -0.1143332    
  0.7099996       0.9159833      -0.1193036    
  0.7199996       0.9136000      -0.1244159    
  0.7299996       0.9111833      -0.1296722    
  0.7399996       0.9087333      -0.1350746    
  0.7499996       0.9062500      -0.1406249    
  0.7599996       0.9037333      -0.1463252    
  0.7699996       0.9011833      -0.1521775    
  0.7799996       0.8986000      -0.1581839    
  0.7899995       0.8959833      -0.1643462    
  0.7999995       0.8933333      -0.1706665    
  0.8099995       0.8906500      -0.1771468    
  0.8199995       0.8879333      -0.1837892    
  0.8299995       0.8851833      -0.1905955    
  0.8399995       0.8824000      -0.1975678    
  0.8499995       0.8795833      -0.2047081    
  0.8599995       0.8767333      -0.2120185    
  0.8699995       0.8738500      -0.2195008    
  0.8799995       0.8709333      -0.2271571    
  0.8899994       0.8679833      -0.2349894    
  0.8999994       0.8649999      -0.2429998    
  0.9099994       0.8619833      -0.2511901    
  0.9199994       0.8589333      -0.2595624    
  0.9299994       0.8558499      -0.2681188    
  0.9399994       0.8527333      -0.2768611    
  0.9499994       0.8495833      -0.2857914    
  0.9599994       0.8464000      -0.2949117    
  0.9699994       0.8431833      -0.3042241    
  0.9799994       0.8399333      -0.3137304    
  0.9899994       0.8366500      -0.3234327    
  0.9999993       0.8333333      -0.3333330    
# Índice politrópico:  0.0000
