# Número de ecuaciones diferenciales a resolver:  2
# Condiciones iniciales:    1.000000          0.000000    
# Extremo inicial del intervalo de integración:  0.0000
# Extremo final del intervalo de integración:  1.0000
# Paso de integración:  0.0100
#  x_inicial       theta           phi
   0.000000        1.000000        0.000000    
  0.1000000E-01   0.9999833      -0.3333283E-06
  0.2000000E-01   0.9999333      -0.2666507E-05
  0.3000000E-01   0.9998500      -0.8998784E-05
  0.4000000E-01   0.9997333      -0.2132821E-04
  0.5000000E-01   0.9995834      -0.4165104E-04
  0.5999999E-01   0.9994001      -0.7196111E-04
  0.6999999E-01   0.9991836      -0.1142493E-03
  0.7999999E-01   0.9989338      -0.1705029E-03
  0.8999999E-01   0.9986508      -0.2427049E-03
  0.9999999E-01   0.9983345      -0.3328336E-03
  0.1100000       0.9979851      -0.4428621E-03
  0.1200000       0.9976026      -0.5747571E-03
  0.1300000       0.9971869      -0.7304793E-03
  0.1400000       0.9967381      -0.9119817E-03
  0.1500000       0.9962564      -0.1121210E-02
  0.1600000       0.9957415      -0.1360101E-02
  0.1700000       0.9951938      -0.1630584E-02
  0.1800000       0.9946131      -0.1934577E-02
  0.1900000       0.9939996      -0.2273990E-02
  0.2000000       0.9933533      -0.2650720E-02
  0.2100000       0.9926743      -0.3066654E-02
  0.2200000       0.9919626      -0.3523669E-02
  0.2300000       0.9912182      -0.4023626E-02
  0.2400000       0.9904413      -0.4568378E-02
  0.2500000       0.9896320      -0.5159759E-02
  0.2600000       0.9887902      -0.5799593E-02
  0.2700000       0.9879161      -0.6489690E-02
  0.2800000       0.9870098      -0.7231841E-02
  0.2900000       0.9860713      -0.8027826E-02
  0.3000000       0.9851007      -0.8879406E-02
  0.3100000       0.9840981      -0.9788327E-02
  0.3200000       0.9830636      -0.1075632E-01
  0.3300000       0.9819973      -0.1178509E-01
  0.3399999       0.9808992      -0.1287633E-01
  0.3499999       0.9797695      -0.1403172E-01
  0.3599999       0.9786083      -0.1525291E-01
  0.3699999       0.9774157      -0.1654153E-01
  0.3799999       0.9761918      -0.1789921E-01
  0.3899999       0.9749366      -0.1932754E-01
  0.3999999       0.9736503      -0.2082809E-01
  0.4099999       0.9723331      -0.2240241E-01
  0.4199999       0.9709851      -0.2405204E-01
  0.4299999       0.9696062      -0.2577848E-01
  0.4399998       0.9681967      -0.2758322E-01
  0.4499998       0.9667568      -0.2946772E-01
  0.4599998       0.9652864      -0.3143343E-01
  0.4699998       0.9637858      -0.3348175E-01
  0.4799998       0.9622551      -0.3561408E-01
  0.4899998       0.9606943      -0.3783178E-01
  0.4999998       0.9591038      -0.4013620E-01
  0.5099998       0.9574835      -0.4252864E-01
  0.5199998       0.9558336      -0.4501041E-01
  0.5299998       0.9541543      -0.4758277E-01
  0.5399998       0.9524457      -0.5024694E-01
  0.5499998       0.9507080      -0.5300414E-01
  0.5599998       0.9489413      -0.5585556E-01
  0.5699998       0.9471459      -0.5880234E-01
  0.5799997       0.9453217      -0.6184562E-01
  0.5899997       0.9434690      -0.6498650E-01
  0.5999997       0.9415879      -0.6822604E-01
  0.6099997       0.9396787      -0.7156529E-01
  0.6199997       0.9377414      -0.7500526E-01
  0.6299997       0.9357762      -0.7854693E-01
  0.6399997       0.9337834      -0.8219126E-01
  0.6499997       0.9317631      -0.8593918E-01
  0.6599997       0.9297153      -0.8979157E-01
  0.6699997       0.9276404      -0.9374930E-01
  0.6799996       0.9255385      -0.9781321E-01
  0.6899996       0.9234098      -0.1019841    
  0.6999996       0.9212545      -0.1062627    
  0.7099996       0.9190726      -0.1106499    
  0.7199996       0.9168645      -0.1151462    
  0.7299996       0.9146303      -0.1197524    
  0.7399996       0.9123702      -0.1244692    
  0.7499996       0.9100844      -0.1292970    
  0.7599996       0.9077730      -0.1342366    
  0.7699996       0.9054363      -0.1392885    
  0.7799996       0.9030745      -0.1444532    
  0.7899995       0.9006878      -0.1497312    
  0.7999995       0.8982763      -0.1551229    
  0.8099995       0.8958402      -0.1606287    
  0.8199995       0.8933799      -0.1662492    
  0.8299995       0.8908954      -0.1719845    
  0.8399995       0.8883869      -0.1778350    
  0.8499995       0.8858547      -0.1838011    
  0.8599995       0.8832991      -0.1898830    
  0.8699995       0.8807201      -0.1960809    
  0.8799995       0.8781180      -0.2023950    
  0.8899994       0.8754930      -0.2088255    
  0.8999994       0.8728454      -0.2153725    
  0.9099994       0.8701752      -0.2220361    
  0.9199994       0.8674829      -0.2288163    
  0.9299994       0.8647685      -0.2357133    
  0.9399994       0.8620323      -0.2427269    
  0.9499994       0.8592745      -0.2498572    
  0.9599994       0.8564954      -0.2571041    
  0.9699994       0.8536951      -0.2644674    
  0.9799994       0.8508739      -0.2719472    
  0.9899994       0.8480320      -0.2795432    
  0.9999993       0.8451696      -0.2872551    
# Índice politrópico:  1.5000
