# Número de ecuaciones diferenciales a resolver:  2
# Condiciones iniciales:    1.000000          0.000000    
# Extremo inicial del intervalo de integración:  0.0000
# Extremo final del intervalo de integración:  1.0000
# Paso de integración:  0.0100
#  x_inicial       theta           phi
   0.000000        1.000000        0.000000    
  0.1000000E-01   0.9999834      -0.3333168E-06
  0.2000000E-01   0.9999334      -0.2666135E-05
  0.3000000E-01   0.9998501      -0.8995955E-05
  0.4000000E-01   0.9997335      -0.2131629E-04
  0.5000000E-01   0.9995837      -0.4161465E-04
  0.5999999E-01   0.9994006      -0.7187061E-04
  0.6999999E-01   0.9991844      -0.1140538E-03
  0.7999999E-01   0.9989352      -0.1701220E-03
  0.8999999E-01   0.9986529      -0.2420192E-03
  0.9999999E-01   0.9983376      -0.3316737E-03
  0.1100000       0.9979895      -0.4409961E-03
  0.1200000       0.9976087      -0.5718778E-03
  0.1300000       0.9971953      -0.7261886E-03
  0.1400000       0.9967494      -0.9057759E-03
  0.1500000       0.9962711      -0.1112462E-02
  0.1600000       0.9957606      -0.1348042E-02
  0.1700000       0.9952180      -0.1614285E-02
  0.1800000       0.9946435      -0.1912928E-02
  0.1900000       0.9940373      -0.2245679E-02
  0.2000000       0.9933994      -0.2614210E-02
  0.2100000       0.9927302      -0.3020164E-02
  0.2200000       0.9920298      -0.3465142E-02
  0.2300000       0.9912984      -0.3950714E-02
  0.2400000       0.9905362      -0.4478408E-02
  0.2500000       0.9897435      -0.5049715E-02
  0.2600000       0.9889204      -0.5666083E-02
  0.2700000       0.9880672      -0.6328921E-02
  0.2800000       0.9871842      -0.7039593E-02
  0.2900000       0.9862715      -0.7799421E-02
  0.3000000       0.9853294      -0.8609681E-02
  0.3100000       0.9843583      -0.9471606E-02
  0.3200000       0.9833583      -0.1038638E-01
  0.3300000       0.9823298      -0.1135514E-01
  0.3399999       0.9812730      -0.1237899E-01
  0.3499999       0.9801882      -0.1345896E-01
  0.3599999       0.9790757      -0.1459605E-01
  0.3699999       0.9779359      -0.1579120E-01
  0.3799999       0.9767689      -0.1704532E-01
  0.3899999       0.9755751      -0.1835924E-01
  0.3999999       0.9743549      -0.1973378E-01
  0.4099999       0.9731085      -0.2116967E-01
  0.4199999       0.9718363      -0.2266762E-01
  0.4299999       0.9705386      -0.2422828E-01
  0.4399998       0.9692157      -0.2585224E-01
  0.4499998       0.9678680      -0.2754005E-01
  0.4599998       0.9664958      -0.2929221E-01
  0.4699998       0.9650994      -0.3110918E-01
  0.4799998       0.9636793      -0.3299135E-01
  0.4899998       0.9622357      -0.3493907E-01
  0.4999998       0.9607690      -0.3695266E-01
  0.5099998       0.9592796      -0.3903236E-01
  0.5199998       0.9577678      -0.4117839E-01
  0.5299998       0.9562340      -0.4339091E-01
  0.5399998       0.9546785      -0.4567004E-01
  0.5499998       0.9531017      -0.4801584E-01
  0.5599998       0.9515040      -0.5042833E-01
  0.5699998       0.9498857      -0.5290751E-01
  0.5799997       0.9482473      -0.5545331E-01
  0.5899997       0.9465890      -0.5806562E-01
  0.5999997       0.9449112      -0.6074429E-01
  0.6099997       0.9432144      -0.6348914E-01
  0.6199997       0.9414989      -0.6629994E-01
  0.6299997       0.9397650      -0.6917642E-01
  0.6399997       0.9380131      -0.7211827E-01
  0.6499997       0.9362437      -0.7512517E-01
  0.6599997       0.9344571      -0.7819670E-01
  0.6699997       0.9326535      -0.8133248E-01
  0.6799996       0.9308335      -0.8453205E-01
  0.6899996       0.9289974      -0.8779492E-01
  0.6999996       0.9271455      -0.9112059E-01
  0.7099996       0.9252783      -0.9450849E-01
  0.7199996       0.9233961      -0.9795806E-01
  0.7299996       0.9214992      -0.1014687    
  0.7399996       0.9195880      -0.1050397    
  0.7499996       0.9176629      -0.1086706    
  0.7599996       0.9157243      -0.1123605    
  0.7699996       0.9137725      -0.1161087    
  0.7799996       0.9118078      -0.1199146    
  0.7899995       0.9098306      -0.1237774    
  0.7999995       0.9078413      -0.1276963    
  0.8099995       0.9058402      -0.1316705    
  0.8199995       0.9038277      -0.1356991    
  0.8299995       0.9018040      -0.1397814    
  0.8399995       0.8997697      -0.1439164    
  0.8499995       0.8977249      -0.1481034    
  0.8599995       0.8956700      -0.1523414    
  0.8699995       0.8936054      -0.1566295    
  0.8799995       0.8915314      -0.1609669    
  0.8899994       0.8894483      -0.1653525    
  0.8999994       0.8873565      -0.1697854    
  0.9099994       0.8852562      -0.1742648    
  0.9199994       0.8831478      -0.1787895    
  0.9299994       0.8810316      -0.1833588    
  0.9399994       0.8789079      -0.1879715    
  0.9499994       0.8767771      -0.1926268    
  0.9599994       0.8746393      -0.1973236    
  0.9699994       0.8724949      -0.2020609    
  0.9799994       0.8703443      -0.2068378    
  0.9899994       0.8681877      -0.2116532    
  0.9999993       0.8660254      -0.2165062    
# Índice politrópico:  5.0000
