# Número de ecuaciones diferenciales a resolver:  2
# Condiciones iniciales:    1.000000          0.000000    
# Extremo inicial del intervalo de integración:  0.0000
# Extremo final del intervalo de integración:  1.0000
# Paso de integración:  0.0100
#  x_inicial       theta           phi
   0.000000        1.000000        0.000000    
  0.1000000E-01   0.9999834      -0.3333233E-06
  0.2000000E-01   0.9999334      -0.2666347E-05
  0.3000000E-01   0.9998500      -0.8997571E-05
  0.4000000E-01   0.9997334      -0.2132310E-04
  0.5000000E-01   0.9995835      -0.4163543E-04
  0.5999999E-01   0.9994003      -0.7192229E-04
  0.6999999E-01   0.9991840      -0.1141654E-03
  0.7999999E-01   0.9989344      -0.1703394E-03
  0.8999999E-01   0.9986517      -0.2424105E-03
  0.9999999E-01   0.9983359      -0.3323355E-03
  0.1100000       0.9979870      -0.4420605E-03
  0.1200000       0.9976052      -0.5735196E-03
  0.1300000       0.9971905      -0.7286344E-03
  0.1400000       0.9967429      -0.9093119E-03
  0.1500000       0.9962626      -0.1117444E-02
  0.1600000       0.9957497      -0.1354908E-02
  0.1700000       0.9952042      -0.1623560E-02
  0.1800000       0.9946262      -0.1925242E-02
  0.1900000       0.9940158      -0.2261773E-02
  0.2000000       0.9933732      -0.2634954E-02
  0.2100000       0.9926984      -0.3046563E-02
  0.2200000       0.9919915      -0.3498356E-02
  0.2300000       0.9912528      -0.3992066E-02
  0.2400000       0.9904823      -0.4529400E-02
  0.2500000       0.9896801      -0.5112041E-02
  0.2600000       0.9888465      -0.5741646E-02
  0.2700000       0.9879815      -0.6419844E-02
  0.2800000       0.9870853      -0.7148235E-02
  0.2900000       0.9861580      -0.7928393E-02
  0.3000000       0.9851999      -0.8761859E-02
  0.3100000       0.9842110      -0.9650148E-02
  0.3200000       0.9831915      -0.1059474E-01
  0.3300000       0.9821417      -0.1159708E-01
  0.3399999       0.9810618      -0.1265859E-01
  0.3499999       0.9799517      -0.1378065E-01
  0.3599999       0.9788119      -0.1496461E-01
  0.3699999       0.9776425      -0.1621179E-01
  0.3799999       0.9764436      -0.1752346E-01
  0.3899999       0.9752155      -0.1890087E-01
  0.3999999       0.9739584      -0.2034523E-01
  0.4099999       0.9726724      -0.2185771E-01
  0.4199999       0.9713579      -0.2343944E-01
  0.4299999       0.9700150      -0.2509152E-01
  0.4399998       0.9686439      -0.2681500E-01
  0.4499998       0.9672449      -0.2861092E-01
  0.4599998       0.9658182      -0.3048024E-01
  0.4699998       0.9643641      -0.3242392E-01
  0.4799998       0.9628827      -0.3444285E-01
  0.4899998       0.9613743      -0.3653789E-01
  0.4999998       0.9598392      -0.3870988E-01
  0.5099998       0.9582776      -0.4095960E-01
  0.5199998       0.9566898      -0.4328779E-01
  0.5299998       0.9550759      -0.4569516E-01
  0.5399998       0.9534364      -0.4818236E-01
  0.5499998       0.9517713      -0.5075002E-01
  0.5599998       0.9500811      -0.5339873E-01
  0.5699998       0.9483659      -0.5612902E-01
  0.5799997       0.9466260      -0.5894141E-01
  0.5899997       0.9448617      -0.6183634E-01
  0.5999997       0.9430733      -0.6481425E-01
  0.6099997       0.9412610      -0.6787550E-01
  0.6199997       0.9394251      -0.7102046E-01
  0.6299997       0.9375659      -0.7424942E-01
  0.6399997       0.9356837      -0.7756263E-01
  0.6499997       0.9337788      -0.8096033E-01
  0.6599997       0.9318514      -0.8444268E-01
  0.6699997       0.9299018      -0.8800985E-01
  0.6799996       0.9279304      -0.9166193E-01
  0.6899996       0.9259373      -0.9539900E-01
  0.6999996       0.9239230      -0.9922108E-01
  0.7099996       0.9218876      -0.1031282    
  0.7199996       0.9198315      -0.1071202    
  0.7299996       0.9177549      -0.1111971    
  0.7399996       0.9156583      -0.1153588    
  0.7499996       0.9135418      -0.1196051    
  0.7599996       0.9114057      -0.1239358    
  0.7699996       0.9092504      -0.1283506    
  0.7799996       0.9070762      -0.1328495    
  0.7899995       0.9048834      -0.1374319    
  0.7999995       0.9026722      -0.1420976    
  0.8099995       0.9004429      -0.1468463    
  0.8199995       0.8981959      -0.1516776    
  0.8299995       0.8959315      -0.1565909    
  0.8399995       0.8936499      -0.1615860    
  0.8499995       0.8913515      -0.1666622    
  0.8599995       0.8890365      -0.1718190    
  0.8699995       0.8867053      -0.1770560    
  0.8799995       0.8843581      -0.1823726    
  0.8899994       0.8819953      -0.1877681    
  0.8999994       0.8796172      -0.1932418    
  0.9099994       0.8772240      -0.1987933    
  0.9199994       0.8748161      -0.2044217    
  0.9299994       0.8723937      -0.2101263    
  0.9399994       0.8699572      -0.2159065    
  0.9499994       0.8675069      -0.2217614    
  0.9599994       0.8650429      -0.2276903    
  0.9699994       0.8625658      -0.2336923    
  0.9799994       0.8600756      -0.2397667    
  0.9899994       0.8575728      -0.2459126    
  0.9999993       0.8550576      -0.2521291    
# Índice politrópico:  3.0000
